"path","index","name","family","style","weight","width","italic","monospace"
"C:\WINDOWS\Fonts\BOOKOSB.TTF",0,"BookmanOldStyle-Bold","Bookman Old Style","Bold","semibold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\BOOKOSBI.TTF",0,"BookmanOldStyle-BoldItalic","Bookman Old Style","Bold Italic","semibold","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\BOOKOSI.TTF",0,"BookmanOldStyle-Italic","Bookman Old Style","Italic","light","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\BRADHITC.TTF",0,"BradleyHandITC","Bradley Hand ITC","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\CENTURY.TTF",0,"Century","Century","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\DUBAI-BOLD.TTF",0,"Dubai-Bold","Dubai","Bold","bold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\DUBAI-LIGHT.TTF",0,"Dubai-Light","Dubai","Light","light","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\DUBAI-MEDIUM.TTF",0,"Dubai-Medium","Dubai","Medium","medium","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\DUBAI-REGULAR.TTF",0,"Dubai-Regular","Dubai","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\FREESCPT.TTF",0,"FreestyleScript-Regular","Freestyle Script","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\FRSCRIPT.TTF",0,"FrenchScriptMT","French Script MT","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\GARA.TTF",0,"Garamond","Garamond","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\GARABD.TTF",0,"Garamond-Bold","Garamond","Bold","bold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\GARAIT.TTF",0,"Garamond-Italic","Garamond","Italic","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\GOTHIC.TTF",0,"CenturyGothic","Century Gothic","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\GOTHICB.TTF",0,"CenturyGothic-Bold","Century Gothic","Bold","bold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\GOTHICBI.TTF",0,"CenturyGothic-BoldItalic","Century Gothic","Bold Italic","bold","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\GOTHICI.TTF",0,"CenturyGothic-Italic","Century Gothic","Italic","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\H2GPRM.TTF",0,"H2gprM","HYGraphic-Medium","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\H2GSRB.TTF",0,"H2gsrB","HYGungSo-Bold","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\H2GTRE.TTF",0,"H2gtrE","HYGothic-Extra","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\H2GTRM.TTF",0,"H2gtrM","HYGothic-Medium","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\H2HDRM.TTF",0,"H2hdrM","HYHeadLine-Medium","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\H2MJRE.TTF",0,"H2mjrE","HYMyeongJo-Extra","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\H2MJSM.TTF",0,"H2mjsM","HYSinMyeongJo-Medium","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\H2MKPB.TTF",0,"H2mkpB","HYPMokGak-Bold","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\H2PORL.TTF",0,"H2porL","HYPost-Light","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\H2PORM.TTF",0,"H2porM","HYPost-Medium","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\H2SA1M.TTF",0,"H2sa1M","HYShortSamul-Medium","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\HMFMOLD.TTF",0,"YetR-HM","Yet R","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\HMFMPYUN.TTF",0,"PyunjiR-HM","Pyunji R","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\HMKMAMI.TTF",0,"AmiR-HM","Ami R","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\HMKMMAG.TTF",0,"MagicR-HM","Magic R","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\HMKMRHD.TTF",0,"HeadlineR-HM","Headline R","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\ITCKRIST.TTF",0,"KristenITC-Regular","Kristen ITC","Regular","normal","semiexpanded",FALSE,FALSE
"C:\WINDOWS\Fonts\JUICE___.TTF",0,"JuiceITC-Regular","Juice ITC","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\LHANDW.TTF",0,"LucidaHandwriting-Italic","Lucida Handwriting","Italic","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\MISTRAL.TTF",0,"Mistral","Mistral","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\MTCORSVA.TTF",0,"MonotypeCorsiva","Monotype Corsiva","Regular","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\NGULIM.TTF",0,"NewGulim","New Gulim","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\PAPYRUS.TTF",0,"Papyrus-Regular","Papyrus","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\PRISTINA.TTF",0,"Pristina-Regular","Pristina","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\TEMPSITC.TTF",0,"TempusSansITC","Tempus Sans ITC","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\WINGDNG2.TTF",0,"Wingdings2","Wingdings 2","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\WINGDNG3.TTF",0,"Wingdings3","Wingdings 3","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\HMFMMUEX.TTC",0,"MoeumTR-HM","MoeumT R","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\HMFMMUEX.TTC",1,"ExpoM-HM","Expo M","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\08SeoulNamsanL.ttf",0,"SeoulNamsanL","08SeoulNamsan","L","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\08SeoulNamsanM.ttf",0,"SeoulNamsanM","08SeoulNamsan","M","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\08SeoulNamsanB.ttf",0,"SeoulNamsanB","08SeoulNamsan","B","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\08SeoulNamsanEB.ttf",0,"SeoulNamsanEB","08SeoulNamsan","EB","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\08SeoulNamsanvert.ttf",0,"SeoulNamsanvert","08SeoulNamsan","vert","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\08SeoulHangangL.ttf",0,"SeoulHangangL","08SeoulHangang","L","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\08SeoulHangangM.ttf",0,"SeoulHangangM","08SeoulHangang","M","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\ALGER.TTF",0,"Algerian","Algerian","Regular","normal","extracondensed",FALSE,FALSE
"C:\WINDOWS\Fonts\BASKVILL.TTF",0,"BaskOldFace","Baskerville Old Face","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\BAUHS93.TTF",0,"Bauhaus93","Bauhaus 93","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\BELL.TTF",0,"BellMT","Bell MT","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\BRLNSB.TTF",0,"BerlinSansFB-Bold","Berlin Sans FB","Bold","bold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\BERNHC.TTF",0,"BernardMT-Condensed","Bernard MT Condensed","Regular","normal","condensed",FALSE,FALSE
"C:\WINDOWS\Fonts\BOD_PSTC.TTF",0,"BodoniMTPosterCompressed","Bodoni MT","Poster Compressed","light","extracondensed",FALSE,FALSE
"C:\WINDOWS\Fonts\BRITANIC.TTF",0,"BritannicBold","Britannic Bold","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\BROADW.TTF",0,"Broadway","Broadway","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\BRUSHSCI.TTF",0,"BrushScriptMT","Brush Script MT","Italic","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\CALIFR.TTF",0,"CalifornianFB-Reg","Californian FB","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\CENTAUR.TTF",0,"Centaur","Centaur","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\CHILLER.TTF",0,"Chiller-Regular","Chiller","Regular","normal","semiexpanded",FALSE,FALSE
"C:\WINDOWS\Fonts\COLONNA.TTF",0,"ColonnaMT","Colonna MT","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\COOPBL.TTF",0,"CooperBlack","Cooper Black","Regular","normal","normal",FALSE,FALSE
